category,item_name,high,low,avg,change,date,source
Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),54.0,50.0,53.0,( 0.0 % ),2026-02-14,
Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),52.0,49.0,52.0,( 0.0 % ),2026-02-14,
Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),51.0,50.0,50.0,( 0.0 % ),2026-02-14,
Polysilicon (Per KG),Polysilicon Outside China (USD),22.0,13.1,17.5,( 0.0 % ),2026-02-14,
Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.25,1.1,1.2,( 0.0 % ),2026-02-14,
Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.55,1.4,1.5,( 0.0 % ),2026-02-14,
Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.35,1.2,1.3,( 0.0 % ),2026-02-14,
Cell (Per Watt),M10L TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14,
Cell (Per Watt),G12 TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14,
Cell (Per Watt),G12R TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14,
Module (Per Watt),182mm TOPCon Module (RMB),0.85,0.78,0.79,( 0.0 % ),2026-02-14,
Module (Per Watt),210mm HJT Module (RMB),0.82,0.7,0.76,( 0.0 % ),2026-02-14,
China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.75,0.7,0.72,( 0.0 % ),2026-02-14,
China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.8,0.74,0.75,( 0.0 % ),2026-02-14,
PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),12.0,11.0,11.5,( 0.0 % ),2026-02-14,
PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),19.0,18.0,18.5,( 0.0 % ),2026-02-14,
PV Glass,2.0 Rear PV Glass (RMB),10.0,9.0,9.5,( 0.0 % ),2026-02-14,
Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),54.0,50.0,53.0,( 0.0 % ),2026-02-18,energytrend
Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),52.0,49.0,52.0,( 0.0 % ),2026-02-18,energytrend
Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),51.0,50.0,50.0,( 0.0 % ),2026-02-18,energytrend
Polysilicon (Per KG),Polysilicon Outside China (USD),22.0,13.1,17.5,( 0.0 % ),2026-02-18,energytrend
Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.25,1.1,1.2,( 0.0 % ),2026-02-18,energytrend
Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.55,1.4,1.5,( 0.0 % ),2026-02-18,energytrend
Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.35,1.2,1.3,( 0.0 % ),2026-02-18,energytrend
Cell (Per Watt),M10L TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-18,energytrend
Cell (Per Watt),G12 TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-18,energytrend
Cell (Per Watt),G12R TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-18,energytrend
Module (Per Watt),182mm TOPCon Module (RMB),0.85,0.78,0.79,( 0.0 % ),2026-02-18,energytrend
Module (Per Watt),210mm HJT Module (RMB),0.82,0.7,0.76,( 0.0 % ),2026-02-18,energytrend
China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.75,0.7,0.72,( 0.0 % ),2026-02-18,energytrend
China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.8,0.74,0.75,( 0.0 % ),2026-02-18,energytrend
PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),12.0,11.0,11.5,( 0.0 % ),2026-02-18,energytrend
PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),19.0,18.0,18.5,( 0.0 % ),2026-02-18,energytrend
PV Glass,2.0 Rear PV Glass (RMB),10.0,9.0,9.5,( 0.0 % ),2026-02-18,energytrend
Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),54.0,50.0,53.0,( 0.0 % ),2026-02-25,energytrend
Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),52.0,49.0,52.0,( 0.0 % ),2026-02-25,energytrend
Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),51.0,50.0,50.0,( 0.0 % ),2026-02-25,energytrend
Polysilicon (Per KG),Polysilicon Outside China (USD),22.0,13.1,17.5,( 0.0 % ),2026-02-25,energytrend
